排名,标题,回答数,关注数,热度(万),问题链接
1,高铁掌掴事件完整视频曝光，成都铁路公安发布警情通报「双方均违法」，哪些信息值得关注？如何看待处罚结果？,1292,1893,1545,https://www.zhihu.com/question/600231053
2,宝妈因发差评贴被月子中心起诉索赔 13.8 万，网络「差评」侵权的边界在哪里？如何从法律角度解读？,195,444,704,https://www.zhihu.com/question/600037541
3,同事离职了，公司为了省钱，让我兼任那个同事的工作，提了加薪没同意，我是该先干着还是直接拒绝？,292,636,537,https://www.zhihu.com/question/599903404
4,白宫称「债务违约是给中俄送大礼，并将导致美元计价市场波动」，美国债务若暴雷将造成哪些影响？,445,1239,469,https://www.zhihu.com/question/600142968
5,格力称孟羽童已离职，孟羽童称靠别人永远不如靠自己，如何看待此事？对格力和孟羽童本人有何影响？,391,962,325,https://www.zhihu.com/question/600183353
6,中国人才吸引力 10 强城市出炉，东部 7 城上榜，如何看待此数据？如何才能提升城市对人才的吸引力？,140,464,228,https://www.zhihu.com/question/600205367
7,重庆姐弟坠亡案二审宣判，维持死刑判决，如何从法律角度解读？,34,47,108,https://www.zhihu.com/question/600325987
8,如果郭嘉没死的话，曹操能不能统一三国？,34,51,104,https://www.zhihu.com/question/599830212
9,为什么很多《英雄联盟》辅助玩家不喜欢 ADC 选伊泽瑞尔？,259,262,100,https://www.zhihu.com/question/586639747
10,《漫长的季节》中沈栋梁怎么知道沈墨没死？,13,19,85,https://www.zhihu.com/question/600020770
11,2023 年 4 月 CPI 同比上涨 0.1%，环比下降 0.1%，如何解读？哪些信息值得关注？,25,48,82,https://www.zhihu.com/question/600321470
12,男士最容易学会的极简风穿搭思路是什么？,28,99,76,https://www.zhihu.com/question/593692077
13,大一大二怎么为考研做准备？,259,1106,75,https://www.zhihu.com/question/311782397
14,谷歌 I/O 2023 大会有哪些看点？,19,44,75,https://www.zhihu.com/question/600311875
15,平板和笔记本哪个好?,98,115,71,https://www.zhihu.com/question/599847323
